"","MS245","MS374","MS371","MS348","MS352"
"Q13228",20.4695934860922,20.3604174823736,19.8177612907942,20.3618448782134,20.0457856577452
"Q8IXJ6",19.7117534004845,19.8672397578117,18.7473755248566,19.1950494832917,19.6458886523487
"P35222",19.3727731411935,19.0140252640054,19.4790607186364,19.818806656271,19.5675382049916
"P13639",19.5214539718958,19.4514801073359,19.4909822567847,19.7316957844872,19.8809343031911
"P49189",20.0474940222916,20.0959903915958,20.3721346623598,20.5359512804832,20.6995266929129
"P32119",22.0888991255129,22.2286977462129,22.1056801351548,22.3832063925441,22.1752388073258
"P60709;Q9BYX7",24.0029222261837,24.2707134509694,24.2469144791455,24.3294318486716,24.3096436960815
"P63104",21.1872135290403,21.2922506972909,21.3875126465224,21.5384476918173,21.3807778980513
"P25189",23.9191666860217,24.4855130009437,21.7694906482172,19.9866356043802,20.1032238497472
"P69905",22.4724061783309,22.0018180238116,20.8838158195526,21.1964994721164,21.0504375712695
"P02647",18.5954904771491,19.9273713384767,17.7715157985512,17.1401201423668,16.681476379156
"Q9Y2S2",19.1582818762013,19.1255943582983,19.192954058415,20.2157580362234,19.770847953447
"Q16653",21.3806791296069,21.3965649346687,20.3092359700671,21.272598919717,21.241498134892
"Q9Y6R1",18.4098060615686,18.9688851963832,18.9357199358334,19.1497803061541,18.9287507685913
"Q9BPU6",19.4146866076178,19.1299944191233,18.7791024110522,19.063436636987,19.5140358928212
"O75891;Q3SY69",17.8522697681624,17.5902975315403,18.1482161677733,18.4464234310888,17.5357583249341
"P28482;Q16659",19.7356673594906,19.8690717306913,20.0342451631268,20.1065557567712,20.0446785086905
"O75083",19.1222068945237,18.9445553674094,19.9803706861605,19.7360044033112,19.6333446938686
"P49327",18.2070580763625,18.292087539694,17.7979739756186,18.1280936545922,18.5103670315566
"P17252;P05129;P05771;P24723;Q9UBU9",18.214667177469,18.3195101698823,18.3406121376825,18.8175574229914,18.5328249806565
"P30153;P30154",19.7345478177256,19.8462318972923,19.6219960923484,19.9630612184952,19.8581797600509
"P04899;A8MTJ3;P08754",20.054519943607,19.9829288307074,20.2743069652407,20.5390403400241,20.1883273652206
"Q9UN36",21.4169976576091,21.4390562076217,21.4697920918989,21.8664456469651,21.6229202612094
"P09382",22.1658299075047,22.2010261507279,22.4014186794452,22.4517453246405,22.4395053875247
"O94760",21.0011900081638,21.0188598395263,21.2135688210026,21.3504800042907,21.1097880161634
"P61981",21.1660568684022,20.9482405297291,21.0518941534816,21.059465725568,21.0327761278267
"P16152;O75828",21.4429079510589,21.4387688219391,20.323123968973,22.1175890269391,21.2864888292417
"P02675",18.3814245288059,19.8295473465001,19.5098776440247,19.2182989791225,19.5532984903654
"P04792",20.0738654682505,19.7678267102299,19.7094498356653,20.8748361591786,20.2694253058139
"P12111",17.9801207461224,17.3720438035418,17.4967626670443,16.7967336753972,16.7185616965839
"P11766",19.722478945832,19.9587958165374,20.5872022266646,20.6808808084808,20.4166216783203
"Q96AQ6",18.8405643899615,18.6909219241016,18.6632062733563,19.7747875125687,19.4237892268434
"P80404",17.5905895516967,18.351211282693,17.3685609168334,18.0855951117648,17.4747866299814
"P09211",21.9244645577583,22.2380399280957,22.233999140716,22.5976059983515,22.3475678364525
"P08238;Q58FF7;Q58FF8",19.4977438667142,19.3598780756691,18.7422719526837,19.4654137083496,19.7711233329066
"P30086",23.2095626346597,22.9834460516899,23.1112598063612,22.7433938900144,23.6322094150898
"Q16658",18.3509804310307,18.4481324553823,17.9993429142171,17.5503852179272,18.0556187727276
"Q12765",19.7949787871655,19.9267132199826,20.5027768020684,20.6823640380513,20.3757332997389
"O43301;Q96MM6",18.7844323285577,18.7038803550661,18.0509082179139,18.406848235174,18.3956198854576
"P13645",16.611659878525,18.5761820220584,16.6859964209475,16.6770548429009,18.9901986263567
"P02511",21.2992539766872,20.8370724581784,20.8645303189147,21.0249606202242,22.2103356854117
"P00505",19.3105411507194,20.1930594469014,19.4134588939253,19.1855641394994,19.4382472786128
"Q9UK22;Q96NW4",20.498523678229,20.7545004327946,20.8263396864643,21.2110400866511,21.1910115138669
"Q9Y2J2;P11171",18.3823441531105,18.3750331674615,18.0681469977687,18.5436385303463,18.5153738526249
"Q92752",18.9939764012529,18.8986389608888,19.0824178763024,19.2946343676435,18.9780656066061
"P62158;P02585",22.2253881601466,22.631481020933,22.3956852052808,22.2068709231722,22.2248958992398
"P31930;O75439",19.1045851684229,19.8162367054154,19.4946899915428,19.3624103801942,19.119064140881
"P49368",18.0363021665404,18.3145877273158,18.0708351377666,18.4516074553755,18.3372504123742
"P35237",18.6487363666194,18.9341294436854,18.8761143882973,19.2028989351819,18.8187936667542
"P05023",19.9353710006914,19.9974814187392,19.5774743219531,19.6286121638279,19.824664543476
"P21291",19.9976993772718,20.2710290069683,20.1779643089363,21.0280194469127,20.2690033947152
"O94819;O94925",17.4593990522635,17.256125673008,17.6881703690413,18.2342325528224,17.2463320022667
"Q99536",19.78376815223,19.9513626276544,19.970230321681,19.7816513754812,19.9630946031681
"P13716",19.7493915670909,19.6578569541766,19.8733375026319,19.559039603988,19.7614204178621
"P27348;P12757",19.9793151625286,19.8218044032191,19.4871036364746,20.1761560861949,20.0277633663885
"Q13509",21.7173163953254,21.9789672501678,21.7612170253696,22.0581799537788,21.9285854601602
"Q14974",18.8030260774479,18.4611836492601,18.7358624074841,19.3133026462707,18.9013342988522
"Q9UI47",18.0260056748963,17.7385880854408,18.1975366444277,18.7558873406698,18.0990748357211
"P14625;Q58FF3",18.8267837578231,18.9209675819583,18.862769261233,18.8761660444352,19.3780880490868
"Q9UQB3;Q99569",17.9034456185113,16.9683988101808,17.691315602603,18.0928327379924,18.3109686876482
"P02671",17.1008548848372,18.4307136427897,18.1143476288281,18.4205832502634,18.2526783016412
"Q9UDY2",17.183794750599,17.1586789799824,17.2436266229632,18.3355248241921,17.4414132740369
"P00918",19.9308245202775,20.2677975097547,19.9588290215263,19.6598888690582,19.9685183442573
"P30626",19.8258358145003,19.5672005761434,20.6816516116631,20.3896837351156,19.6765692568768
"P30048",18.6076018916696,19.1787435618963,18.7242563310954,18.8582426481945,18.6647199893064
"P08107;P48741",19.5692925031424,19.5944410582312,19.3458303283103,20.1557127259054,20.0260249610336
"O75390",18.8531142954935,19.3123122927402,19.2239907925177,18.5636651659046,18.8206888659639
"P27824",19.0315643219176,18.7005583567203,19.1626820979984,19.3094305488144,19.2770861608513
"P35579",17.9218237842092,17.2650013102455,18.0954560272493,18.0191680655618,17.914093884803
"P10768",20.0822464155836,20.1811741762299,20.776394305292,20.8955209399044,20.5771537702631
"P00915",19.7768338435568,19.8476979299449,18.7162376695314,19.0994843819196,19.5453048843933
"P27797",19.3740107041182,19.1061612453773,19.3014658130833,19.5932017217937,19.5318964392541
"O43865;Q5VW36;Q96HN2",19.1667848408509,19.1248550149634,19.5355087141892,19.6387386109902,19.5376435201585
"P07339",19.8975644673289,20.3253444924691,19.8713146675689,20.0402154176248,19.8886636421029
"Q9UEY8;Q6GYQ0",18.7875753606948,18.9087143982289,18.9714736940431,19.5865203921155,18.9266872830454
"P52306",18.089861599855,18.0931060392503,17.4789242304286,18.033428058499,18.0704880132804
"P23528;Q9Y281",20.6824318170579,20.5347054953251,21.0519944034011,20.7719248768376,20.8424382102373
"P30044",19.8582137532048,19.8878505811061,20.0423254067841,19.8866250772593,19.661800317981
"P07384",18.1973276139213,18.2656167107995,18.5361728803734,18.7857337313619,18.4440624351287
"P31939",17.8589783886482,17.7112062171298,17.7148870326642,17.696002953024,17.8944208170121
"P63092",18.6268764920038,18.6037003644427,19.1047951906148,18.8821873990892,18.7880000678285
"P08237;Q8N7G0",19.0919297683376,18.8421862816363,18.9132273691661,19.1649183890141,18.9578066923198
"P37837",17.8032030116443,18.1657394799913,17.9805048627202,18.1344826093625,18.0976505281859
"P01876;P01877",19.8039099385219,21.9139569978792,20.1433372556654,20.1668862532743,19.4553483710651
"P51888",19.5085797498376,19.6316184610082,19.2698017608532,16.5348984225363,17.0313744088193
"Q6UWR7",18.6829345099038,18.7889396421062,17.0950801380754,17.7927683398588,18.2289700925864
"P05090",19.8220642197839,21.0180389226178,18.8511507562578,18.9281108605977,19.1315093080301
"P20774",19.6768074277763,19.8842123817883,19.4184201132157,16.0953714647998,17.0226517854384
"P21281;P15313",18.9775922978697,19.4637815058598,18.8307805234496,19.0937577950631,19.1928514229636
"P12532;P17540;P19784",17.9817227764856,19.0876015884455,18.4829328421831,17.4820104903355,17.6062370426345
"P50213",17.8877081351542,18.4609085788256,18.0012019242868,17.672246426017,17.7249770908774
"P01857",22.0781285262379,23.3812616183317,22.1700481848083,22.0453904316859,21.3120366154964
"P43490",18.5994496221674,18.1217534985893,19.3631098490914,19.4185107908996,19.476185440186
"P43004",18.99599093266,19.6839413174305,18.7366030851357,18.7839203232502,18.5052847842024
"P00568",20.3789645362949,20.1848308583839,19.5735525671372,20.452424042315,20.106592157029
"Q14CZ8",19.8869609492634,19.7346891273405,19.5093216024885,20.104831911097,19.4689437865748
"P21796",19.5179062217533,20.127820794585,19.7644364257489,19.6187242012878,19.4517066947576
"Q13510",19.4164300979457,19.1723162278844,19.1147711892923,19.6743450688843,19.3383203224756
"P11021",18.9617691113991,19.1300991884071,18.904275612198,19.2513774497498,19.1964162626805
"P49748",17.4560888791241,17.670024236401,17.8398523329032,17.6659777692443,17.3137387966802
"P09471",20.6582846160319,20.8744236494336,21.0996363498857,21.0731547629938,21.1105639537031
"Q92823",18.0128923610823,17.8248163944268,18.067087633535,18.4890421914805,18.0462870678344
"P22234",19.1415796847158,19.3311060091343,18.9566752636261,19.0353243974809,19.1770263460274
"P45974",17.9881367975015,18.0459749666479,17.8294278435271,18.2755298751504,18.1177524885828
"P24752",18.2843566741935,18.6382765795538,18.5987813586635,18.8953089798506,18.6004447310513
"P49411",18.5867423119055,18.9007466020304,18.654357670651,18.7140149004091,18.5700409362917
"O00764",18.3720777970728,18.4085304034244,18.0462084496123,18.2853990464696,18.4405196901824
"P04271",23.5248692125923,23.1126506013276,23.330932657675,23.8257227772951,23.3207039251087
"Q15084",18.3665994148851,18.2107996280295,18.4826362486402,18.4609293688333,18.5134998679958
"Q9UBQ7",18.5520113942193,18.6141482085114,18.7717352838299,18.7041518319636,18.619997252814
"P01834",20.8580335503316,21.4992261289623,21.1661043899847,20.3759613078318,20.3082336652794
"P29972",20.8492251138752,21.0378089014176,22.1899261514536,23.1089207384548,22.4454167438993
"P45880",18.9419497481926,19.7046278456244,19.3932149399617,19.1880724105627,18.9547639753392
"P20916",19.7036269714677,19.7653934324042,18.1616340836902,18.4662764413966,18.9937736882808
"P61978",17.987643865082,18.034243098534,18.0478467796645,18.2341474845935,17.8970547857362
"Q9HCJ6",17.4616787152213,18.0702827557115,17.0929199776483,17.0224704600995,17.4025367698575
"O76070",17.6740228282209,18.5970578423925,17.8613388650892,17.7394422633937,18.7768990409049
"P09417",20.2535078541897,20.5360352432165,19.4345687127527,19.8692014631471,20.2096920482634
"P49588",17.5082871775828,17.2161327912681,16.8275226773851,17.1518898511289,17.658254104111
"P0C0L4",18.0016094863945,17.9956005399182,17.9741681564481,17.5887882196961,17.8415311971337
"Q9GZV7",20.55748510834,21.1282190442335,20.0474674665136,19.9360811173704,19.985309039689
"P00387",19.000859307989,19.0184643131526,19.5730340116598,19.5210912713417,19.7755875368135
"P08195",17.6728233134924,18.151203332218,17.9332472109318,17.669425661676,17.9175361980641
"Q9P2R3",16.0311066686433,15.4603776675914,15.6282424352948,16.4791262901363,16.0731496498038
"P09622",18.6441077706641,19.1061743876203,18.5851217613224,18.5534397255049,18.6545122852683
"Q9BWD1",18.2892887289289,18.2361645655708,17.6862071931961,17.8157607307671,18.182338293891
"P21695",19.7533161617959,19.5493156872038,19.3720195030963,18.9631055028832,19.9263305651106
"P52895;P17516;P42330;Q04828",18.0813330936845,17.768943229305,18.5926523529988,18.5575432696729,18.4271840407612
"P28331",17.9078570467631,18.4477940152241,17.9129990807227,17.2666641749785,17.6290707228619
"O43488;Q8NHP1",19.265094214683,19.2144664601293,19.5435114218949,20.1753268393705,19.9094735053496
